# ------------------------------------------------------------------------------
#     name   network            latitude           longitude  useless      depth
# ------------------------------------------------------------------------------
      757A        TA           28.941299          -82.068497        0.        0.
      758A        TA           28.962099          -81.199600        0.        0.
      832A        TA           28.284401          -99.974297        0.        0.
      833A        TA           28.323601          -99.393898        0.        0.
      834A        TA           28.125099          -98.551903        0.        0.
      835A        TA           28.287001          -97.829697        0.        0.
      857A        TA           28.267000          -82.229103        0.        0.
      858A        TA           28.212601          -81.361603        0.        0.
      859A        TA           28.059200          -80.898399        0.        0.
      933A        TA           27.613300          -99.274597        0.        0.
      934A        TA           27.601801          -98.519203        0.        0.
      936A        TA           27.420799          -97.309097        0.        0.
      957A        TA           27.670200          -82.235703        0.        0.
      958A        TA           27.585501          -81.754303        0.        0.
      959A        TA           27.524000          -80.879097        0.        0.
      A04A        TA           48.719700         -122.707001        0.        0.
      A05A        TA           48.998299         -122.085197        0.        0.
      A06A        TA           49.098301         -121.480400        0.        0.
      A07A        TA           49.048000         -120.383698        0.        0.
      A08A        TA           48.953400         -119.272499        0.        0.
      A09A        TA           48.975201         -118.585098        0.        0.
      A10A        TA           48.981300         -117.558601        0.        0.
      A11A        TA           48.958000         -116.363098        0.        0.
      A12A        TA           48.933899         -115.652603        0.        0.
      A13A        TA           48.932999         -114.413498        0.        0.
      A14A        TA           48.972500         -113.421799        0.        0.
      A15A        TA           48.977699         -112.732697        0.        0.
      A16A        TA           48.948200         -111.596802        0.        0.
      A17A        TA           48.944801         -110.699402        0.        0.
      A18A        TA           48.919800         -109.845901        0.        0.
      A19A        TA           48.928600         -108.742897        0.        0.
      A20A        TA           48.879902         -107.925697        0.        0.
      A21A        TA           48.991199         -106.925400        0.        0.
      A22A        TA           48.992599         -105.915298        0.        0.
      A23A        TA           48.959202         -104.878601        0.        0.
      A24A        TA           48.923901         -104.001801        0.        0.
      A25A        TA           48.938801         -103.112801        0.        0.
      A26A        TA           48.897301         -102.038002        0.        0.
      A27A        TA           48.953300         -101.240700        0.        0.
      A28A        TA           48.909599         -100.266899        0.        0.
      A29A        TA           48.922798          -99.232101        0.        0.
      A30A        TA           48.940201          -98.300903        0.        0.
      A31A        TA           48.931999          -97.188797        0.        0.
      A32A        TA           48.917198          -96.493500        0.        0.
      A33A        TA           48.937099          -95.390404        0.        0.
      ABTX        TA           32.623798          -99.643097        0.        0.
      B04A        TA           48.057499         -123.503998        0.        0.
      B05A        TA           48.264099         -122.096001        0.        0.
      B06A        TA           48.518299         -121.484497        0.        0.
      B07A        TA           48.460701         -120.119698        0.        0.
      B08A        TA           48.358398         -119.333199        0.        0.
      B09A        TA           48.422600         -118.148804        0.        0.
      B10A        TA           48.299500         -117.225197        0.        0.
      B11A        TA           48.436600         -116.367401        0.        0.
      B12A        TA           48.469398         -115.588898        0.        0.
      B13A        TA           48.373901         -114.467598        0.        0.
      B14A        TA           48.360901         -113.272903        0.        0.
      B15A        TA           48.312901         -112.561897        0.        0.
      B16A        TA           48.412800         -111.707298        0.        0.
      B17A        TA           48.292099         -110.798798        0.        0.
      B18A        TA           48.394299         -109.777496        0.        0.
      B19A        TA           48.455101         -108.944298        0.        0.
      B20A        TA           48.438900         -108.020897        0.        0.
      B21A        TA           48.427799         -107.016602        0.        0.
      B22A        TA           48.300800         -105.996399        0.        0.
      B23A        TA           48.464298         -104.990898        0.        0.
      B25A        TA           48.271599         -103.161301        0.        0.
      B26A        TA           48.376202         -102.234100        0.        0.
      B27A        TA           48.404400         -101.260002        0.        0.
      B28A        TA           48.449200         -100.361603        0.        0.
      B29A        TA           48.464901          -99.353500        0.        0.
      B30A        TA           48.450500          -98.328598        0.        0.
      B31A        TA           48.423599          -97.649498        0.        0.
      B32A        TA           48.395100          -96.536301        0.        0.
      B33A        TA           48.272202          -95.587997        0.        0.
      B34A        TA           48.486000          -94.650101        0.        0.
      B35A        TA           48.360298          -93.726097        0.        0.
      BGNE        TA           41.408298          -98.150200        0.        0.
      BNLO        TA           37.131100         -122.172897        0.        0.
      BRSD        TA           44.443001          -98.956299        0.        0.
      C03A        TA           47.947498         -124.566200        0.        0.
      C04A        TA           47.717201         -122.971802        0.        0.
      C05A        TA           47.694698         -121.689499        0.        0.
      C06A        TA           47.923000         -120.894402        0.        0.
      C07A        TA           47.690201         -120.061302        0.        0.
      C08A        TA           47.784901         -119.045403        0.        0.
      C09A        TA           47.800598         -118.274101        0.        0.
      C10A        TA           47.819199         -117.307701        0.        0.
      C11A        TA           47.839699         -116.255699        0.        0.
      C12A        TA           47.703899         -115.481102        0.        0.
      C12B        TA           47.709202         -115.474998        0.        0.
      C13A        TA           47.679501         -114.573502        0.        0.
      C14A        TA           47.768700         -113.746803        0.        0.
      C15A        TA           47.775002         -112.607201        0.        0.
      C16A        TA           47.801201         -111.745796        0.        0.
      C17A        TA           47.632702         -110.762604        0.        0.
      C19A        TA           47.734299         -109.048897        0.        0.
      C20A        TA           47.713299         -108.004204        0.        0.
      C21A        TA           47.826401         -107.096001        0.        0.
      C22A        TA           47.745602         -105.884102        0.        0.
      C23A        TA           47.802601         -105.184402        0.        0.
      C24A        TA           47.530201         -104.425201        0.        0.
      C25A        TA           47.712399         -103.255798        0.        0.
      C26A        TA           47.825901         -102.095703        0.        0.
      C27A        TA           47.713902         -101.502899        0.        0.
      C28A        TA           47.715698         -100.387100        0.        0.
      C30A        TA           47.702599          -98.478302        0.        0.
      C31A        TA           47.792702          -97.733597        0.        0.
      C32A        TA           47.825500          -96.528099        0.        0.
      C33A        TA           47.758598          -95.772499        0.        0.
      C34A        TA           47.650101          -94.910599        0.        0.
      C35A        TA           47.700699          -93.976303        0.        0.
      C36A        TA           47.757999          -92.837799        0.        0.
      C37A        TA           47.728298          -92.185303        0.        0.
      C38A        TA           47.717098          -91.273201        0.        0.
      C39A        TA           47.817101          -90.128899        0.        0.
      C40A        TA           47.915401          -89.151398        0.        0.
      D03A        TA           47.116100         -123.771400        0.        0.
      D04A        TA           47.110901         -122.803497        0.        0.
      D05A        TA           47.188099         -121.988800        0.        0.
      D06A        TA           47.193501         -120.844498        0.        0.
      D07A        TA           47.193600         -119.973198        0.        0.
      D08A        TA           47.057301         -118.920998        0.        0.
      D09A        TA           47.061501         -118.309196        0.        0.
      D10A        TA           47.054699         -117.275902        0.        0.
      D11A        TA           47.047699         -116.335297        0.        0.
      D12A        TA           47.052799         -115.352501        0.        0.
      D13A        TA           47.094299         -114.458702        0.        0.
      D14A        TA           47.081600         -113.506203        0.        0.
      D15A        TA           47.041801         -112.520401        0.        0.
      D16A        TA           47.030800         -111.549202        0.        0.
      D17A        TA           47.152302         -110.687302        0.        0.
      D18A        TA           47.196098         -109.802299        0.        0.
      D19A        TA           47.164600         -108.879997        0.        0.
      D20A        TA           47.091099         -108.136200        0.        0.
      D21A        TA           47.065800         -106.993896        0.        0.
      D22A        TA           47.149799         -106.179703        0.        0.
      D23A        TA           47.173000         -105.207100        0.        0.
      D24A        TA           47.115200         -104.327003        0.        0.
      D25A        TA           47.150799         -103.320297        0.        0.
      D26A        TA           47.030102         -102.435699        0.        0.
      D27A        TA           47.108101         -101.525398        0.        0.
      D28A        TA           47.192902         -100.569199        0.        0.
      D29A        TA           47.060501          -99.595703        0.        0.
      D30A        TA           47.108200          -98.757599        0.        0.
      D31A        TA           47.048100          -97.722603        0.        0.
      D32A        TA           47.135399          -97.016403        0.        0.
      D33A        TA           47.140400          -95.844803        0.        0.
      D34A        TA           47.085098          -95.195198        0.        0.
      D35A        TA           47.081001          -94.052902        0.        0.
      D36A        TA           47.176498          -93.164497        0.        0.
      D37A        TA           47.158100          -92.426201        0.        0.
      D41A        TA           47.060501          -88.565697        0.        0.
      D46A        TA           46.890999          -84.035698        0.        0.
      D47A        TA           47.055801          -83.103798        0.        0.
      D48A        TA           47.174301          -81.807198        0.        0.
      D49A        TA           47.272598          -81.356201        0.        0.
      D50A        TA           47.166801          -79.841202        0.        0.
      D51A        TA           47.090401          -79.373299        0.        0.
      D52A        TA           46.976398          -78.411697        0.        0.
      D53A        TA           47.079498          -77.700104        0.        0.
      D54A        TA           47.152000          -76.656998        0.        0.
      D55A        TA           47.019001          -75.473198        0.        0.
      D56A        TA           47.048500          -74.756798        0.        0.
      D57A        TA           47.017200          -73.887802        0.        0.
      D58A        TA           47.095402          -72.882599        0.        0.
      D59A        TA           47.007301          -71.835800        0.        0.
      D60A        TA           46.913898          -70.923698        0.        0.
      D61A        TA           47.202202          -70.186798        0.        0.
      D62A        TA           47.081902          -69.050102        0.        0.
      D63A        TA           47.036999          -68.106598        0.        0.
      E03A        TA           46.545898         -123.563202        0.        0.
      E04A        TA           46.593399         -122.720398        0.        0.
      E05A        TA           46.560501         -121.760803        0.        0.
      E06A        TA           46.543301         -120.979103        0.        0.
      E07A        TA           46.558498         -119.854797        0.        0.
      E08A        TA           46.491100         -119.059502        0.        0.
      E09A        TA           46.513901         -118.145500        0.        0.
      E10A        TA           46.485001         -117.110199        0.        0.
      E11A        TA           46.355900         -116.209198        0.        0.
      E12A        TA           46.415100         -115.570503        0.        0.
      E13A        TA           46.442299         -114.188004        0.        0.
      E14A        TA           46.416199         -113.492599        0.        0.
      E15A        TA           46.424599         -112.641197        0.        0.
      E16A        TA           46.533600         -111.676399        0.        0.
      E17A        TA           46.462002         -110.857597        0.        0.
      E18A        TA           46.566299         -109.913696        0.        0.
      E19A        TA           46.461102         -108.786003        0.        0.
      E20A        TA           46.503799         -108.130096        0.        0.
      E21A        TA           46.540798         -107.075699        0.        0.
      E22A        TA           46.438599         -105.948799        0.        0.
      E23A        TA           46.497799         -105.306198        0.        0.
      E24A        TA           46.560799         -104.307297        0.        0.
      E25A        TA           46.500900         -103.401299        0.        0.
      E26A        TA           46.471199         -102.462097        0.        0.
      E27A        TA           46.429298         -101.564499        0.        0.
      E28A        TA           46.574799         -100.693398        0.        0.
      E29A        TA           46.568199          -99.641998        0.        0.
      E30A        TA           46.502102          -98.909798        0.        0.
      E31A        TA           46.558300          -97.887901        0.        0.
      E32A        TA           46.592701          -97.070099        0.        0.
      E33A        TA           46.503502          -96.005402        0.        0.
      E34A        TA           46.513599          -95.169098        0.        0.
      E35A        TA           46.557201          -94.404297        0.        0.
      E36A        TA           46.517700          -93.255699        0.        0.
      E37A        TA           46.565800          -92.400002        0.        0.
      E38A        TA           46.605801          -91.554199        0.        0.
      E39A        TA           46.377701          -90.555702        0.        0.
      E40A        TA           46.444599          -89.899101        0.        0.
      E41A        TA           46.464298          -88.963600        0.        0.
      E42A        TA           46.430099          -87.914001        0.        0.
      E43A        TA           46.375801          -86.995399        0.        0.
      E44A        TA           46.619900          -85.921402        0.        0.
      E45A        TA           46.356300          -85.177399        0.        0.
      E46A        TA           46.366501          -84.306198        0.        0.
      E47A        TA           46.454700          -83.277702        0.        0.
      E48A        TA           46.480900          -82.165298        0.        0.
      E50A        TA           46.423199          -80.737801        0.        0.
      E51A        TA           46.533298          -79.492401        0.        0.
      E52A        TA           46.285099          -78.656898        0.        0.
      E53A        TA           46.378399          -77.663803        0.        0.
      E54A        TA           46.433899          -77.186897        0.        0.
      E55A        TA           46.453800          -76.057198        0.        0.
      E56A        TA           46.543598          -75.034103        0.        0.
      E57A        TA           46.411701          -74.147102        0.        0.
      E58A        TA           46.372101          -73.277100        0.        0.
      E59A        TA           46.480301          -72.510803        0.        0.
      E60A        TA           46.368900          -71.446899        0.        0.
