# ------------------------------
# name network x y useless depth
# ------------------------------
0905 FAKE -21000.00 -38000.00 0.0 0.0
0906 FAKE -20000.00 -38000.00 0.0 0.0
0907 FAKE -19000.00 -38000.00 0.0 0.0
0908 FAKE -18000.00 -38000.00 0.0 0.0
0909 FAKE -17000.00 -38000.00 0.0 0.0
0910 FAKE -16000.00 -38000.00 0.0 0.0
0911 FAKE -15000.00 -38000.00 0.0 0.0
0912 FAKE -14000.00 -38000.00 0.0 0.0
0913 FAKE -13000.00 -38000.00 0.0 0.0
0914 FAKE -12000.00 -38000.00 0.0 0.0
0915 FAKE -11000.00 -38000.00 0.0 0.0
0916 FAKE -10000.00 -38000.00 0.0 0.0
0917 FAKE -9000.00 -38000.00 0.0 0.0
0918 FAKE -8000.00 -38000.00 0.0 0.0
0919 FAKE -7000.00 -38000.00 0.0 0.0
0920 FAKE -6000.00 -38000.00 0.0 0.0
0921 FAKE -5000.00 -38000.00 0.0 0.0
0922 FAKE -4000.00 -38000.00 0.0 0.0
0923 FAKE -3000.00 -38000.00 0.0 0.0
0924 FAKE -2000.00 -38000.00 0.0 0.0
0925 FAKE -1000.00 -38000.00 0.0 0.0
0926 FAKE 0.00 -38000.00 0.0 0.0
0927 FAKE 1000.00 -38000.00 0.0 0.0
0928 FAKE 2000.00 -38000.00 0.0 0.0
0929 FAKE 3000.00 -38000.00 0.0 0.0
0930 FAKE 4000.00 -38000.00 0.0 0.0
0931 FAKE 5000.00 -38000.00 0.0 0.0
0932 FAKE 6000.00 -38000.00 0.0 0.0
0933 FAKE 7000.00 -38000.00 0.0 0.0
0934 FAKE 8000.00 -38000.00 0.0 0.0
0935 FAKE 9000.00 -38000.00 0.0 0.0
0936 FAKE 10000.00 -38000.00 0.0 0.0
0937 FAKE 11000.00 -38000.00 0.0 0.0
0938 FAKE 12000.00 -38000.00 0.0 0.0
0939 FAKE 13000.00 -38000.00 0.0 0.0
0940 FAKE 14000.00 -38000.00 0.0 0.0
0941 FAKE 15000.00 -38000.00 0.0 0.0
0942 FAKE 16000.00 -38000.00 0.0 0.0
0943 FAKE 17000.00 -38000.00 0.0 0.0
0944 FAKE 18000.00 -38000.00 0.0 0.0
0945 FAKE 19000.00 -38000.00 0.0 0.0
0946 FAKE 20000.00 -38000.00 0.0 0.0
0947 FAKE 21000.00 -38000.00 0.0 0.0
0948 FAKE 22000.00 -38000.00 0.0 0.0
0949 FAKE 23000.00 -38000.00 0.0 0.0
0950 FAKE 24000.00 -38000.00 0.0 0.0
0981 FAKE -25000.00 -37000.00 0.0 0.0
0982 FAKE -24000.00 -37000.00 0.0 0.0
0983 FAKE -23000.00 -37000.00 0.0 0.0
0984 FAKE -22000.00 -37000.00 0.0 0.0
0985 FAKE -21000.00 -37000.00 0.0 0.0
0986 FAKE -20000.00 -37000.00 0.0 0.0
0987 FAKE -19000.00 -37000.00 0.0 0.0
0988 FAKE -18000.00 -37000.00 0.0 0.0
0989 FAKE -17000.00 -37000.00 0.0 0.0
0990 FAKE -16000.00 -37000.00 0.0 0.0
0991 FAKE -15000.00 -37000.00 0.0 0.0
0992 FAKE -14000.00 -37000.00 0.0 0.0
0993 FAKE -13000.00 -37000.00 0.0 0.0
0994 FAKE -12000.00 -37000.00 0.0 0.0
0995 FAKE -11000.00 -37000.00 0.0 0.0
0996 FAKE -10000.00 -37000.00 0.0 0.0
0997 FAKE -9000.00 -37000.00 0.0 0.0
0998 FAKE -8000.00 -37000.00 0.0 0.0
0999 FAKE -7000.00 -37000.00 0.0 0.0
1000 FAKE -6000.00 -37000.00 0.0 0.0
1001 FAKE -5000.00 -37000.00 0.0 0.0
1002 FAKE -4000.00 -37000.00 0.0 0.0
1003 FAKE -3000.00 -37000.00 0.0 0.0
1004 FAKE -2000.00 -37000.00 0.0 0.0
1005 FAKE -1000.00 -37000.00 0.0 0.0
1006 FAKE 0.00 -37000.00 0.0 0.0
1007 FAKE 1000.00 -37000.00 0.0 0.0
1008 FAKE 2000.00 -37000.00 0.0 0.0
1009 FAKE 3000.00 -37000.00 0.0 0.0
1010 FAKE 4000.00 -37000.00 0.0 0.0
1011 FAKE 5000.00 -37000.00 0.0 0.0
1012 FAKE 6000.00 -37000.00 0.0 0.0
1013 FAKE 7000.00 -37000.00 0.0 0.0
1014 FAKE 8000.00 -37000.00 0.0 0.0
1015 FAKE 9000.00 -37000.00 0.0 0.0
1016 FAKE 10000.00 -37000.00 0.0 0.0
1017 FAKE 11000.00 -37000.00 0.0 0.0
1018 FAKE 12000.00 -37000.00 0.0 0.0
1019 FAKE 13000.00 -37000.00 0.0 0.0
1020 FAKE 14000.00 -37000.00 0.0 0.0
1021 FAKE 15000.00 -37000.00 0.0 0.0
1022 FAKE 16000.00 -37000.00 0.0 0.0
1023 FAKE 17000.00 -37000.00 0.0 0.0
1024 FAKE 18000.00 -37000.00 0.0 0.0
1025 FAKE 19000.00 -37000.00 0.0 0.0
1026 FAKE 20000.00 -37000.00 0.0 0.0
1027 FAKE 21000.00 -37000.00 0.0 0.0
1028 FAKE 22000.00 -37000.00 0.0 0.0
1029 FAKE 23000.00 -37000.00 0.0 0.0
1030 FAKE 24000.00 -37000.00 0.0 0.0
1031 FAKE 25000.00 -37000.00 0.0 0.0
1061 FAKE -27000.00 -36000.00 0.0 0.0
1062 FAKE -26000.00 -36000.00 0.0 0.0
1063 FAKE -25000.00 -36000.00 0.0 0.0
1064 FAKE -24000.00 -36000.00 0.0 0.0
1065 FAKE -23000.00 -36000.00 0.0 0.0
1066 FAKE -22000.00 -36000.00 0.0 0.0
1067 FAKE -21000.00 -36000.00 0.0 0.0
1068 FAKE -20000.00 -36000.00 0.0 0.0
1069 FAKE -19000.00 -36000.00 0.0 0.0
1070 FAKE -18000.00 -36000.00 0.0 0.0
1071 FAKE -17000.00 -36000.00 0.0 0.0
1072 FAKE -16000.00 -36000.00 0.0 0.0
1073 FAKE -15000.00 -36000.00 0.0 0.0
1074 FAKE -14000.00 -36000.00 0.0 0.0
1075 FAKE -13000.00 -36000.00 0.0 0.0
1076 FAKE -12000.00 -36000.00 0.0 0.0
1077 FAKE -11000.00 -36000.00 0.0 0.0
1078 FAKE -10000.00 -36000.00 0.0 0.0
1079 FAKE -9000.00 -36000.00 0.0 0.0
1080 FAKE -8000.00 -36000.00 0.0 0.0
1081 FAKE -7000.00 -36000.00 0.0 0.0
1082 FAKE -6000.00 -36000.00 0.0 0.0
1083 FAKE -5000.00 -36000.00 0.0 0.0
1084 FAKE -4000.00 -36000.00 0.0 0.0
1085 FAKE -3000.00 -36000.00 0.0 0.0
1086 FAKE -2000.00 -36000.00 0.0 0.0
1087 FAKE -1000.00 -36000.00 0.0 0.0
1088 FAKE 0.00 -36000.00 0.0 0.0
1089 FAKE 1000.00 -36000.00 0.0 0.0
1090 FAKE 2000.00 -36000.00 0.0 0.0
1091 FAKE 3000.00 -36000.00 0.0 0.0
1092 FAKE 4000.00 -36000.00 0.0 0.0
1093 FAKE 5000.00 -36000.00 0.0 0.0
1094 FAKE 6000.00 -36000.00 0.0 0.0
1095 FAKE 7000.00 -36000.00 0.0 0.0
1096 FAKE 8000.00 -36000.00 0.0 0.0
1097 FAKE 9000.00 -36000.00 0.0 0.0
1098 FAKE 10000.00 -36000.00 0.0 0.0
1099 FAKE 11000.00 -36000.00 0.0 0.0
1100 FAKE 12000.00 -36000.00 0.0 0.0
1101 FAKE 13000.00 -36000.00 0.0 0.0
1102 FAKE 14000.00 -36000.00 0.0 0.0
1103 FAKE 15000.00 -36000.00 0.0 0.0
1104 FAKE 16000.00 -36000.00 0.0 0.0
1105 FAKE 17000.00 -36000.00 0.0 0.0
1106 FAKE 18000.00 -36000.00 0.0 0.0
1107 FAKE 19000.00 -36000.00 0.0 0.0
1108 FAKE 20000.00 -36000.00 0.0 0.0
1109 FAKE 21000.00 -36000.00 0.0 0.0
1110 FAKE 22000.00 -36000.00 0.0 0.0
1111 FAKE 23000.00 -36000.00 0.0 0.0
1112 FAKE 24000.00 -36000.00 0.0 0.0
1113 FAKE 25000.00 -36000.00 0.0 0.0
1114 FAKE 26000.00 -36000.00 0.0 0.0
1115 FAKE 27000.00 -36000.00 0.0 0.0
1144 FAKE -28000.00 -35000.00 0.0 0.0
1145 FAKE -27000.00 -35000.00 0.0 0.0
1146 FAKE -26000.00 -35000.00 0.0 0.0
1147 FAKE -25000.00 -35000.00 0.0 0.0
1148 FAKE -24000.00 -35000.00 0.0 0.0
1149 FAKE -23000.00 -35000.00 0.0 0.0
1150 FAKE -22000.00 -35000.00 0.0 0.0
1151 FAKE -21000.00 -35000.00 0.0 0.0
1152 FAKE -20000.00 -35000.00 0.0 0.0
1153 FAKE -19000.00 -35000.00 0.0 0.0
1154 FAKE -18000.00 -35000.00 0.0 0.0
1155 FAKE -17000.00 -35000.00 0.0 0.0
1156 FAKE -16000.00 -35000.00 0.0 0.0
1157 FAKE -15000.00 -35000.00 0.0 0.0
1158 FAKE -14000.00 -35000.00 0.0 0.0
1159 FAKE -13000.00 -35000.00 0.0 0.0
1160 FAKE -12000.00 -35000.00 0.0 0.0
1161 FAKE -11000.00 -35000.00 0.0 0.0
1162 FAKE -10000.00 -35000.00 0.0 0.0
1163 FAKE -9000.00 -35000.00 0.0 0.0
1164 FAKE -8000.00 -35000.00 0.0 0.0
1165 FAKE -7000.00 -35000.00 0.0 0.0
1166 FAKE -6000.00 -35000.00 0.0 0.0
1167 FAKE -5000.00 -35000.00 0.0 0.0
1168 FAKE -4000.00 -35000.00 0.0 0.0
1169 FAKE -3000.00 -35000.00 0.0 0.0
1170 FAKE -2000.00 -35000.00 0.0 0.0
1171 FAKE -1000.00 -35000.00 0.0 0.0
1172 FAKE 0.00 -35000.00 0.0 0.0
1173 FAKE 1000.00 -35000.00 0.0 0.0
1174 FAKE 2000.00 -35000.00 0.0 0.0
1175 FAKE 3000.00 -35000.00 0.0 0.0
1176 FAKE 4000.00 -35000.00 0.0 0.0
1177 FAKE 5000.00 -35000.00 0.0 0.0
1178 FAKE 6000.00 -35000.00 0.0 0.0
1179 FAKE 7000.00 -35000.00 0.0 0.0
1180 FAKE 8000.00 -35000.00 0.0 0.0
1181 FAKE 9000.00 -35000.00 0.0 0.0
1182 FAKE 10000.00 -35000.00 0.0 0.0
1183 FAKE 11000.00 -35000.00 0.0 0.0
1184 FAKE 12000.00 -35000.00 0.0 0.0
1185 FAKE 13000.00 -35000.00 0.0 0.0
1186 FAKE 14000.00 -35000.00 0.0 0.0
1187 FAKE 15000.00 -35000.00 0.0 0.0
1188 FAKE 16000.00 -35000.00 0.0 0.0
1189 FAKE 17000.00 -35000.00 0.0 0.0
1190 FAKE 18000.00 -35000.00 0.0 0.0
1191 FAKE 19000.00 -35000.00 0.0 0.0
1192 FAKE 20000.00 -35000.00 0.0 0.0
1193 FAKE 21000.00 -35000.00 0.0 0.0
1194 FAKE 22000.00 -35000.00 0.0 0.0
1195 FAKE 23000.00 -35000.00 0.0 0.0
1196 FAKE 24000.00 -35000.00 0.0 0.0
1197 FAKE 25000.00 -35000.00 0.0 0.0
1198 FAKE 26000.00 -35000.00 0.0 0.0
1199 FAKE 27000.00 -35000.00 0.0 0.0
1200 FAKE 28000.00 -35000.00 0.0 0.0
1229 FAKE -29000.00 -34000.00 0.0 0.0
1230 FAKE -28000.00 -34000.00 0.0 0.0
1231 FAKE -27000.00 -34000.00 0.0 0.0
1232 FAKE -26000.00 -34000.00 0.0 0.0
1233 FAKE -25000.00 -34000.00 0.0 0.0
1234 FAKE -24000.00 -34000.00 0.0 0.0
1235 FAKE -23000.00 -34000.00 0.0 0.0
1236 FAKE -22000.00 -34000.00 0.0 0.0
1237 FAKE -21000.00 -34000.00 0.0 0.0
1238 FAKE -20000.00 -34000.00 0.0 0.0
1239 FAKE -19000.00 -34000.00 0.0 0.0
1240 FAKE -18000.00 -34000.00 0.0 0.0
1241 FAKE -17000.00 -34000.00 0.0 0.0
1242 FAKE -16000.00 -34000.00 0.0 0.0
1243 FAKE -15000.00 -34000.00 0.0 0.0
1244 FAKE -14000.00 -34000.00 0.0 0.0
1245 FAKE -13000.00 -34000.00 0.0 0.0
1246 FAKE -12000.00 -34000.00 0.0 0.0
1247 FAKE -11000.00 -34000.00 0.0 0.0
1248 FAKE -10000.00 -34000.00 0.0 0.0
1249 FAKE -9000.00 -34000.00 0.0 0.0
1250 FAKE -8000.00 -34000.00 0.0 0.0
1251 FAKE -7000.00 -34000.00 0.0 0.0
1252 FAKE -6000.00 -34000.00 0.0 0.0
1253 FAKE -5000.00 -34000.00 0.0 0.0
1254 FAKE -4000.00 -34000.00 0.0 0.0
1255 FAKE -3000.00 -34000.00 0.0 0.0
1256 FAKE -2000.00 -34000.00 0.0 0.0
1257 FAKE -1000.00 -34000.00 0.0 0.0
1258 FAKE 0.00 -34000.00 0.0 0.0
