-119.0871    46.0184   65	2.2
-119.3958    46.1716   74	1.7
-117.0982    45.5303   91	1.1
-116.8515    45.6501   112	1.4
-116.3647    45.8019   106	1.1
-121.7608    46.5605   55	1.8
-119.8548    46.5585   100	1.1
-119.0595    46.4911   114	1.2
-118.1455    46.5139   74	1.4
-117.1102    46.4850   96	1.7
-116.2092    46.3559   63	1.0
-121.4580    45.8839   85	1.2
-120.7817    45.7664   93	1.2
-119.9278    45.8951   53	1.5
-118.7768    45.7971   55	1.9
-117.9094    45.7087   95	1.6
-117.2277    45.9734   100	2.0
-116.1549    45.8883   84	1.1
-121.3167    45.2422   82	1.4
-120.6351    45.2357   111	0.9
-119.6692    45.2664   125	1.4
-118.9595    45.2904   125	0.7
-117.7802    45.2781   49	1.8
-117.1204    45.2925   72	0.9
-121.2271    44.6473   69	1.8
-120.3346    44.7344   75	1.3
-119.5646    44.5913   114	1.5
-118.6704    44.5191   48	1.1
-116.7474    44.5890   69	1.4
-121.2675    44.1626   76	2.2
-120.2107    43.9437   80	1.6
-119.5042    44.0820   64	1.4
-117.7407    43.9733   76	1.3
-116.8029    44.0860   80	1.6
-115.9578    43.9121   87	1.6
-121.2357    43.2843   75	1.6
-120.1528    43.2515   77	1.8
-119.3105    43.3736   82	1.9
-118.4743    43.3580   87	2.0
-117.7542    43.3471   66	2.3
-116.7670    43.4275   67	1.9
-115.8278    43.4151   84	2.2
-120.8934    42.7258   72	2.1
-120.2510    42.7991   81	2.2
-119.2469    42.6912   85	1.9
-118.4864    42.7308   65	1.9
-117.7251    42.6996   92	2.0
-116.8705    42.7779   79	2.0
-116.0323    42.7713   102	1.6
-120.8336    42.0472   64	1.6
-119.3398    42.0187   82	2.0
-118.3445    42.1901   88	2.0
-117.6667    42.0192   78	1.7
-115.7541    42.1669   100	1.5
-116.4711    42.0773   93	1.6
-120.4772    41.2047   65	1.8
-119.1711    41.3884   65	2.2
-118.3792    41.4483   83	2.0
-117.4497    41.4230   86	2.1
-116.5396    41.5220   88	1.8
-115.7912    41.4311   64	2.1
